ФИО;Паспортные данные;СНИЛС;Симптомы;Выбор врача;Дата посещения врача;Анализы;Дата получения анализов;Стоимость анализов;Карта оплаты
Семенова Виктория Артемовна;5020 403381;713-695-944 30;интоксикация;инфекционист;2025-12-05T10:15+03:00;анализ кала на инфекции, анализ крови на антитела;2025-12-08T17:00+03:00;3400 руб.;5486 7337 3125 5236
Иванов Макар Григорьевич;7819 816632;277-264-883 22;незначительное повышение температуры, общее недомогание;пластический хирург;2025-11-25T11:30+03:00;общий анализ мочи;2025-11-26T17:00+03:00;600 руб.;2200 0757 5917 1057
Медведев Егор Филиппович;5220 373946;247-841-715 98;легкая тошнота, головная боль, общее недомогание;физиотерапевт;2025-12-01T12:00+03:00;общий анализ крови, общий анализ мочи;2025-12-03T17:00+03:00;1400 руб.;2200 0461 1338 9263
Сидорчук Полина Владимировна;MP2146175;527-873-048 19;общая слабость, незначительное повышение температуры, общее недомогание;геронтолог;2025-11-24T16:30+03:00;общий анализ мочи, общий анализ крови;2025-11-26T12:30+03:00;1400 руб.;5323 0118 9156 7345
Рыбаков Александр Максимович;N15376584;780-686-717 55;легкая тошнота, общее недомогание;рефлексотерапевт;2025-12-19T11:45+03:00;общий анализ мочи;2025-12-22T09:00+03:00;600 руб.;2200 0602 7275 1643
Медведев Валентин Виталиевич;7722 027085;070-260-869 42;легкая тошнота, незначительное повышение температуры, головная боль;андролог;2025-11-21T09:00+03:00;общий анализ крови;2025-11-24T17:00+03:00;800 руб.;2200 0483 5211 8965
Орлова Ирина Кирилловна;N11496555;882-100-996 05;незначительное повышение температуры, легкая тошнота, головная боль;терапевт;2025-12-09T16:30+03:00;общий анализ мочи, рентген грудной клетки;2025-12-11T15:30+03:00;3100 руб.;2200 0882 8190 2212
Антонова Вероника Егоровна;7720 985649;065-274-033 54;повышенная жажда;эндокринолог;2025-12-08T17:15+03:00;узи щитовидной железы, анализ крови на инсулин;2025-12-09T17:15+03:00;5150 руб.;5213 2451 4367 2866
Морозов Владимир Вячеславович;0215 639375;814-590-099 08;боль в коленях;ортопед;2025-12-04T09:30+03:00;рентген позвоночника, анализ крови на ревмофактор;2025-12-08T12:30+03:00;4400 руб.;2200 0315 8807 0531
Никифоров Никита Иванович;KB8711752;002-842-762 24;общая слабость;рефлексотерапевт;2025-12-08T12:00+03:00;общий анализ крови;2025-12-10T17:00+03:00;800 руб.;4153 7449 0728 0127
Николаева Яна Ивановна;7225 836346;810-450-243 45;тревожность, нарушение сна;психиатр;2025-12-19T17:45+03:00;электроэнцефалография;2025-12-22T17:45+03:00;9000 руб.;2200 0889 6933 5396
Рыбакова Дарья Артемовна;6112 874629;255-341-928 73;общая слабость, незначительное повышение температуры;геронтолог;2025-12-10T13:45+03:00;общий анализ крови;2025-12-15T09:00+03:00;800 руб.;2200 0240 5468 3564
Молчанов Павел Степанович;1622 692086;837-727-028 35;легкая тошнота, общее недомогание, общая слабость;венеролог;2025-12-01T12:30+03:00;общий анализ крови;2025-12-03T12:30+03:00;800 руб.;5101 2661 0197 5351
Тарасова Милана Борисовна;4224 374703;002-601-515 76;незначительное повышение температуры, общая слабость;маммолог;2025-12-01T10:00+03:00;общий анализ крови;2025-12-02T17:00+03:00;800 руб.;2200 0563 6281 4440
Кравцов Давид Андреевич;3614 402587;066-703-362 66;постоянная усталость, увеличение лимфоузлов, необъяснимая потеря веса;онколог;2025-12-08T15:00+03:00;мрт с контрастом, гистологическое исследование;2025-12-10T09:00+03:00;13250 руб.;4630 2792 2884 9873
Крюкова Варвара Григорьевна;PP6513853;872-717-430 33;общее недомогание, общая слабость, легкая тошнота;пластический хирург;2025-12-15T15:30+03:00;общий анализ крови;2025-12-17T10:30+03:00;800 руб.;4475 2087 3877 5839
Никифорова Ульяна Леонидовна;4223 618837;251-341-252 24;общая слабость, незначительное повышение температуры;диетолог;2025-11-24T12:00+03:00;общий анализ крови;2025-11-26T10:00+03:00;800 руб.;2200 0331 0081 7852
Попова Злата Станиславовна;0320 792477;199-180-812 16;одышка, перебои в сердце, головокружение при вставании;кардиолог;2025-11-28T11:00+03:00;холтер эко кг, анализ крови на холестерин;2025-12-01T09:00+03:00;3400 руб.;4154 2877 2044 1004
Молчанов Лука Вадимович;7718 885653;361-706-171 65;общая слабость, головная боль;мануальный терапевт;2025-11-25T13:30+03:00;общий анализ крови;2025-11-26T16:30+03:00;800 руб.;2200 0624 8709 8729
Яковлев Дмитрий Максимович;5002 637895;446-657-437 22;увеличение лимфоузлов, новообразования;онколог;2025-12-01T10:45+03:00;биопсия, гистологическое исследование;2025-12-03T09:00+03:00;3500 руб.;5486 9984 6735 7429
Захаров Максим Вадимович;7720 400014;070-286-720 56;общая слабость;терапевт;2025-12-02T15:15+03:00;рентген грудной клетки;2025-12-04T14:15+03:00;2500 руб.;2200 0868 8936 2896
Молчанова Марина Федоровна;5020 167754;691-669-784 74;незначительное повышение температуры, общая слабость, легкая тошнота;диетолог;2025-11-24T16:15+03:00;общий анализ мочи;2025-11-27T09:00+03:00;600 руб.;2200 0771 3072 2111
Григорьев Мирослав Артемович;2322 717858;174-357-483 94;нарушение зрения, нарушение речи, онемение;невролог;2025-12-10T15:45+03:00;электроэнцефалография;2025-12-11T17:00+03:00;9000 руб.;2200 0218 8087 9911
Федорова Елизавета Станиславовна;2308 395192;549-633-083 20;легкая тошнота, общая слабость;терапевт;2025-11-24T11:00+03:00;общий анализ крови, анализ крови на сахар;2025-11-26T09:00+03:00;2450 руб.;5100 4399 4237 6763
Сизов Вадим Игоревич;5906 491898;901-043-289 50;головные боли напряжения, мышечные зажимы;остеопат;2025-12-01T11:00+03:00;мрт позвоночника, функциональные тесты;2025-12-03T09:00+03:00;13250 руб.;4475 2087 3877 5839
Сидорчук Дарья Артемовна;7725 679777;149-150-762 69;повышенное давление, головокружение при вставании, сжимающая боль за грудиной;кардиолог;2025-12-16T16:45+03:00;коагулограмма;2025-12-19T09:00+03:00;1750 руб.;4475 2068 1572 4506
Левчук Иван Юрьевич;N92184856;801-110-005 95;слезотечение;аллерголог;2025-12-19T11:45+03:00;аллергопробы, анализ крови на специфические аллергены;2025-12-22T09:00+03:00;3400 руб.;2200 0645 5985 1605
Константинов Борис Вячеславович;5022 870128;839-335-290 34;звон в ушах, выделения из носа;лор;2025-12-19T10:15+03:00;анализ крови на стрептококк, аудиометрия;2025-12-22T10:15+03:00;3400 руб.;5486 9947 8686 2371
Петухова Злата Олеговна;7816 487283;965-075-273 40;насморк, сухость в горле, осиплость голоса;лор;2025-11-20T17:15+03:00;ларингоскопия, анализ крови на стрептококк;2025-11-21T17:00+03:00;3400 руб.;2200 0599 2164 0066
Романчук Изяслав Кириллович;7724 176560;910-732-283 78;легкая тошнота;венеролог;2025-12-09T11:15+03:00;общий анализ крови, общий анализ мочи;2025-12-11T17:00+03:00;1400 руб.;5100 4328 4117 3092
Захарова Ульяна Степановна;1624 337903;773-872-148 48;выделения из носа;лор;2025-11-20T17:45+03:00;рентген носовых пазух, аудиометрия;2025-11-24T09:00+03:00;4500 руб.;2200 0710 4379 6866
Романчук Раиса Романовна;7815 126517;351-823-374 70;нарушение речи, нарушение памяти, сильная головная боль;невролог;2025-12-18T14:00+03:00;рентген шейного отдела позвоночника;2025-12-22T09:00+03:00;2750 руб.;5213 2427 8755 8865
Михайлов Валентин Андреевич;AB8407618;590-251-762 92;увеличение лимфоузлов при инфекции, инфекционная сыпь, рвота;инфекционист;2025-11-27T10:00+03:00;пцр диагностика;2025-12-01T17:00+03:00;1750 руб.;5536 9141 6009 1694
Сергеев Василий Павлович;7722 833783;548-186-746 36;тяжесть после еды;гастроэнтеролог;2025-12-09T17:30+03:00;узи брюшной полости;2025-12-11T17:00+03:00;2800 руб.;2200 0420 6163 2945
Фролов Виталий Константинович;7725 988223;296-201-533 71;аллергический конъюнктивит;терапевт;2025-12-01T10:30+03:00;биохимический анализ крови, рентген грудной клетки;2025-12-02T17:00+03:00;4000 руб.;2200 0934 0153 5348
Власов Виктор Дмитриевич;7822 952274;016-400-524 97;общее недомогание, незначительное повышение температуры, головная боль;андролог;2025-12-08T13:45+03:00;общий анализ мочи, общий анализ крови;2025-12-11T10:45+03:00;1400 руб.;4622 0444 0892 6879
Никифорова Милана Олеговна;7719 955491;797-296-590 96;головная боль;терапевт;2025-12-08T10:15+03:00;флюорография;2025-12-10T09:00+03:00;1200 руб.;4475 2026 2085 8175
Веселова Жанна Витальевна;5419 838818;944-846-312 44;незначительное повышение температуры;терапевт;2025-12-03T13:15+03:00;биохимический анализ крови;2025-12-05T17:00+03:00;1500 руб.;4279 0147 4355 3791
Беляев Марк Павлович;7712 610111;884-882-691 95;головная боль, незначительное повышение температуры, общая слабость;венеролог;2025-12-08T10:45+03:00;общий анализ крови;2025-12-11T09:00+03:00;800 руб.;2200 0761 0079 2302
Борисова Антонина Максимовна;4225 484888;420-696-942 93;тяжесть внизу живота;гинеколог;2025-12-08T11:45+03:00;мазок на флору;2025-12-09T16:45+03:00;1650 руб.;2200 0696 1512 0481
Молчанова Марина Федоровна;5020 167754;691-669-784 74;незначительное повышение температуры, головная боль;пластический хирург;2025-11-20T13:30+03:00;общий анализ крови, общий анализ мочи;2025-11-24T09:00+03:00;1400 руб.;4153 7493 9836 8455
Романова Радмила Ярославовна;2321 754114;347-243-586 88;головная боль, общее недомогание, легкая тошнота;пародонтолог;2025-12-15T10:15+03:00;общий анализ крови, общий анализ мочи;2025-12-17T14:15+03:00;1400 руб.;5100 2056 2241 9763
Волкова Радмила Дмитриевна;7721 217783;006-184-897 52;насморк;лор;2025-12-15T12:30+03:00;рентген носовых пазух;2025-12-18T10:30+03:00;2750 руб.;2200 0612 1564 9522
Гусев Лука Виталиевич;3623 493051;616-481-980 13;давящая боль за грудиной, сжимающая боль за грудиной;кардиолог;2025-11-28T13:00+03:00;холтер эко кг;2025-12-01T09:00+03:00;1750 руб.;2200 0282 7306 3433
Никифоров Тимофей Павлович;5422 459407;417-215-622 53;головная боль, общая слабость, незначительное повышение температуры;ортодонт;2025-12-08T13:45+03:00;общий анализ мочи;2025-12-10T14:45+03:00;600 руб.;2200 0677 6334 2725
Андреева Богдана Никитична;N18439853;055-800-027 33;покраснение глаз;офтальмолог;2025-11-24T11:30+03:00;измерение внутриглазного давления, периметрия;2025-11-25T16:30+03:00;3500 руб.;5486 7360 4986 0373
Волкова Нина Игоревна;6310 438169;055-955-017 82;общая слабость, общее недомогание;трихолог;2025-11-26T11:00+03:00;общий анализ крови;2025-12-01T09:00+03:00;800 руб.;4377 7211 4003 4719
Захаров Владислав Вадимович;0224 983071;690-872-617 42;общее недомогание;рефлексотерапевт;2025-12-16T16:45+03:00;общий анализ крови;2025-12-19T09:00+03:00;800 руб.;2200 0890 8419 4783
Сергеев Михаил Федорович;5022 145825;865-624-220 25;общая слабость;терапевт;2025-12-01T12:30+03:00;флюорография;2025-12-02T17:00+03:00;1200 руб.;5536 9141 6009 1694
Кравцов Давид Андреевич;3614 402587;066-703-362 66;общая слабость, легкая тошнота, общее недомогание;неонатолог;2025-12-15T16:00+03:00;общий анализ мочи;2025-12-16T17:00+03:00;600 руб.;2200 0781 9722 3993
Петухов Евгений Владимирович;N99436783;223-105-927 18;общее недомогание;стоматолог-хирург;2025-11-26T16:30+03:00;общий анализ крови;2025-11-28T17:00+03:00;800 руб.;2200 0224 8085 5780
Степанова Юлия Егоровна;5224 755639;959-001-094 08;синяки;гематолог;2025-11-26T15:15+03:00;анализ крови развернутый;2025-11-28T16:15+03:00;1650 руб.;2200 1485 7467 0676
Власова Анна Евгеньевна;1611 114612;817-946-954 66;выделения из носа;лор;2025-12-17T14:15+03:00;рентген носовых пазух;2025-12-18T17:15+03:00;2750 руб.;5536 9161 0703 3507
Макарова Инна Вячеславовна;7825 069163;004-169-105 07;общая слабость;терапевт;2025-12-02T16:30+03:00;флюорография, биохимический анализ крови;2025-12-04T17:30+03:00;2700 руб.;4276 4453 4811 0509
Кравцова Маргарита Денисовна;7816 353329;128-177-512 68;легкая тошнота, общая слабость, головная боль;стоматолог;2025-12-01T13:15+03:00;общий анализ крови, общий анализ мочи;2025-12-02T17:00+03:00;1400 руб.;2200 0240 5468 3564
Степанова Евгения Григорьевна;5224 727144;299-556-205 41;незначительное повышение температуры, общее недомогание, головная боль;пластический хирург;2025-12-15T16:45+03:00;общий анализ крови;2025-12-17T14:45+03:00;800 руб.;2200 0444 7898 5627
Яковлева Мария Евгеньевна;AB7864256;724-342-661 83;общая слабость, незначительное повышение температуры;трихолог;2025-12-02T13:45+03:00;общий анализ мочи;2025-12-05T09:00+03:00;600 руб.;2200 0538 0274 1481
Зайцева Любовь Антоновна;2323 154666;728-840-766 40;общее недомогание, утомляемость;терапевт;2025-12-11T12:15+03:00;общий анализ крови, общий анализ мочи;2025-12-15T09:15+03:00;1400 руб.;2200 0967 2521 4524
Романчук Маргарита Васильевна;2315 704457;048-869-320 13;незначительное повышение температуры;стоматолог;2025-11-20T14:00+03:00;общий анализ мочи;2025-11-24T09:00+03:00;600 руб.;5486 9997 6405 3562
Макарова Антонина Сергеевна;MP8999013;478-122-489 07;незначительное повышение температуры, общее недомогание;физиотерапевт;2025-11-28T11:45+03:00;общий анализ крови;2025-12-01T09:00+03:00;800 руб.;2200 0273 6273 2023
Левчук Иван Юрьевич;N92184856;801-110-005 95;ухудшение зрения;офтальмолог;2025-12-16T16:30+03:00;офтальмоскопия, исследование глазного дна;2025-12-18T17:00+03:00;3500 руб.;4276 4454 2493 2149
Степанова Евгения Григорьевна;5224 727144;299-556-205 41;незначительное повышение температуры;стоматолог;2025-11-28T17:45+03:00;общий анализ крови;2025-12-01T16:45+03:00;800 руб.;2200 0594 1552 1665
Яковлев Федор Владимирович;7722 933740;264-710-680 74;стресс, эмоциональные проблемы;психотерапевт;2025-12-02T12:45+03:00;нейропсихологическое обследование;2025-12-05T09:00+03:00;1750 руб.;4622 0451 9254 6294
Молчанов Артем Андреевич;7899 188725;265-676-618 22;головная боль, незначительное повышение температуры;геронтолог;2025-12-19T13:45+03:00;общий анализ крови;2025-12-22T17:45+03:00;800 руб.;2200 0717 4907 5391
Сергеева Раиса Александровна;5013 366786;985-193-932 76;боль в груди при дыхании, кашель с мокротой;пульмонолог;2025-12-17T10:15+03:00;анализ крови на альфа-1-антитрипсин;2025-12-19T10:15+03:00;1650 руб.;5100 0317 4460 0456
Орлова Ульяна Борисовна;2307 576061;271-721-733 66;головная боль;пластический хирург;2025-12-16T15:45+03:00;общий анализ мочи, общий анализ крови;2025-12-18T09:00+03:00;1400 руб.;4279 0139 7499 5077
Орлов Николай Вадимович;5422 369054;181-563-268 77;постоянный кашель, сухой кашель;пульмонолог;2025-12-01T15:00+03:00;рентген грудной клетки;2025-12-04T09:00+03:00;2500 руб.;2200 0333 8915 6246
Попов Виталий Владимирович;7805 568553;093-225-333 52;боль в пояснице;ортопед;2025-11-24T09:15+03:00;анализ крови на мочевую кислоту, мрт суставов;2025-11-26T09:00+03:00;13150 руб.;4276 4435 4503 6981
Яковлева Ульяна Владиславовна;1614 138688;805-983-124 22;боль внизу живота;гинеколог;2025-12-04T14:45+03:00;анализ крови на половые гормоны, анализ на ЗППП;2025-12-08T09:00+03:00;3400 руб.;4475 2033 1190 7909
Фролов Виталий Константинович;7725 988223;296-201-533 71;общая слабость;терапевт;2025-12-08T14:30+03:00;общий анализ крови;2025-12-09T14:30+03:00;800 руб.;2200 0200 0413 2116
Волкова Светлана Вячеславовна;HB2640625;922-671-317 02;легкая тошнота;ортодонт;2025-12-17T13:45+03:00;общий анализ крови, общий анализ мочи;2025-12-19T09:00+03:00;1400 руб.;5213 2451 4367 2866
Лукашенко Валентин Никитич;BM1443752;099-284-524 24;скованность в суставах, хромота, боль в пояснице;ортопед;2025-12-12T12:30+03:00;рентген суставов, мрт суставов;2025-12-15T17:00+03:00;14250 руб.;2200 0541 5471 5537
Молчанов Ярослав Вадимович;7718 488781;254-221-883 54;посттравматический стресс, семейные конфликты, стресс;психотерапевт;2025-12-08T11:00+03:00;нейропсихологическое обследование, психологическое тестирование;2025-12-09T13:00+03:00;3500 руб.;5100 4333 2998 6518
Беляев Марк Павлович;7712 610111;884-882-691 95;легкая тошнота, незначительное повышение температуры;терапевт;2025-11-28T09:30+03:00;флюорография, рентген грудной клетки;2025-12-01T17:00+03:00;3700 руб.;2200 0273 8740 2990
Молчанов Ярослав Вадимович;7718 488781;254-221-883 54;легкая тошнота, головная боль;физиотерапевт;2025-12-02T11:00+03:00;общий анализ мочи, общий анализ крови;2025-12-03T17:00+03:00;1400 руб.;2200 1455 1962 8223
Васильева Полина Васильевна;3422 953746;629-251-881 13;покраснение глаз, сухость глаз, зуд в глазах;офтальмолог;2025-11-25T13:45+03:00;биомикроскопия глаза;2025-11-27T15:45+03:00;1750 руб.;5323 0182 4989 8082
Громова Ирина Олеговна;HB6557278;169-409-749 16;выделения из влагалища;гинеколог;2025-11-27T13:00+03:00;анализ крови на половые гормоны, анализ на ЗППП;2025-12-01T09:00+03:00;3400 руб.;5213 2462 7026 6043
Соколова София Кирилловна;6308 644375;019-335-389 57;влажный кашель, одышка;пульмонолог;2025-11-24T12:45+03:00;анализ мокроты;2025-11-25T14:45+03:00;1750 руб.;4279 0170 5646 1601
Фролов Вячеслав Егорович;7700 925603;233-865-596 99;головная боль, незначительное повышение температуры;терапевт;2025-11-20T14:15+03:00;общий анализ мочи, флюорография;2025-11-24T09:00+03:00;1800 руб.;2200 0231 3361 0945
Алексеева Василиса Ярославовна;3819 307619;562-386-922 20;головная боль;терапевт;2025-12-02T14:30+03:00;общий анализ крови, общий анализ мочи;2025-12-04T17:00+03:00;1400 руб.;2200 0735 0344 6941
Соколова Инна Евгеньевна;1614 175255;554-451-895 11;общая слабость, легкая тошнота;диетолог;2025-12-17T12:30+03:00;общий анализ крови, общий анализ мочи;2025-12-19T09:00+03:00;1400 руб.;2200 1418 8701 7990
Антонов Петр Станиславович;7714 991308;963-259-532 44;отек суставов;ревматолог;2025-12-01T17:15+03:00;рентген суставов, анализ крови на комплемент;2025-12-03T10:15+03:00;4400 руб.;5486 7326 4085 7215
Никифорова Милана Олеговна;7719 955491;797-296-590 96;нарушение развития;педиатр;2025-12-16T15:30+03:00;общий анализ крови, анализ крови на детские инфекции;2025-12-18T13:30+03:00;2450 руб.;2200 1462 6890 4724
Фролов Вячеслав Егорович;7700 925603;233-865-596 99;общая слабость;нарколог;2025-11-20T09:30+03:00;общий анализ мочи;2025-11-24T09:00+03:00;600 руб.;5323 0116 4359 9000
Степанова Милана Васильевна;7723 663122;667-116-845 21;повышенная потливость, увеличение щитовидной железы;эндокринолог;2025-12-01T16:45+03:00;анализ крови на кортизол;2025-12-03T09:00+03:00;1650 руб.;4622 0437 0661 8758
Большакова Радмила Николаевна;7820 727719;858-990-027 76;одышка, постоянный кашель, кашель с мокротой;пульмонолог;2025-12-01T14:00+03:00;анализ мокроты, кт грудной клетки;2025-12-03T14:00+03:00;10750 руб.;2200 1462 6890 4724
Молчанов Александр Романович;3415 027224;165-915-201 77;детская сыпь;педиатр;2025-12-18T09:15+03:00;анализ крови на детские инфекции;2025-12-22T09:00+03:00;1650 руб.;2200 0267 7306 7185
Зайцев Максим Максимович;KB5717908;190-878-865 35;общее недомогание, общая слабость;диетолог;2025-12-02T16:15+03:00;общий анализ крови, общий анализ мочи;2025-12-05T11:15+03:00;1400 руб.;4154 2860 5504 9226
Лебедева Зинаида Станиславовна;2322 195894;016-290-739 42;общая слабость, головная боль, легкая тошнота;трихолог;2025-11-24T17:15+03:00;общий анализ мочи, общий анализ крови;2025-11-26T09:00+03:00;1400 руб.;5323 0186 4942 6948
Яковлева Мария Евгеньевна;AB7864256;724-342-661 83;боль в мышцах при инфекции;инфекционист;2025-12-15T12:30+03:00;анализ крови на антитела, пцр диагностика;2025-12-18T09:00+03:00;3400 руб.;2200 1404 4327 0184
Медведева Анастасия Филипповна;5020 374222;075-409-150 63;общая слабость, легкая тошнота;пародонтолог;2025-12-09T11:00+03:00;общий анализ мочи, общий анализ крови;2025-12-10T11:00+03:00;1400 руб.;2200 0765 3460 6052
Попов Виталий Владимирович;7805 568553;093-225-333 52;общее недомогание, незначительное повышение температуры, легкая тошнота;терапевт;2025-12-15T09:15+03:00;анализ крови на сахар;2025-12-18T09:00+03:00;1650 руб.;4475 2066 4315 8901
Левчук Иван Виталиевич;7805 796672;715-802-909 97;головная боль, общая слабость, общее недомогание;терапевт;2025-11-26T16:00+03:00;анализ крови на сахар;2025-11-27T17:00+03:00;1650 руб.;2200 0907 0308 8083
Михайлова Оксана Викторовна;N75158383;337-912-121 74;головная боль, легкая тошнота;терапевт;2025-12-08T11:45+03:00;флюорография;2025-12-10T09:00+03:00;1200 руб.;2200 1407 2889 5929
Романов Дмитрий Александрович;6322 321441;718-594-849 57;недержание мочи;уролог;2025-12-08T09:45+03:00;анализ крови на ПСА;2025-12-09T16:45+03:00;1650 руб.;5486 7322 7051 0282
Крюков Илья Викторович;5224 185752;779-979-955 46;нарушение памяти, сильная головная боль, тремор;невролог;2025-12-09T10:45+03:00;узи сосудов головы и шеи;2025-12-12T10:45+03:00;3500 руб.;2200 0944 3596 2458
Иванова Антонина Владимировна;2315 019470;123-753-028 36;длительная субфебрильная температура, уплотнения;онколог;2025-11-27T15:45+03:00;биопсия;2025-12-01T15:45+03:00;1750 руб.;4276 8327 9724 5722
Андреева Богдана Никитична;N18439853;055-800-027 33;незначительное повышение температуры;маммолог;2025-12-01T12:45+03:00;общий анализ крови, общий анализ мочи;2025-12-03T11:45+03:00;1400 руб.;2200 0464 8821 5978
Павловский Кирилл Дмитриевич;N63695915;623-236-066 59;общее недомогание, легкая тошнота, головная боль;терапевт;2025-11-24T14:30+03:00;флюорография, общий анализ мочи;2025-11-25T17:00+03:00;1800 руб.;2200 0922 6992 0667
Николаева Яна Ивановна;7225 836346;810-450-243 45;длительная субфебрильная температура, увеличение лимфоузлов, уплотнения;онколог;2025-12-02T11:15+03:00;кт с контрастом;2025-12-05T11:15+03:00;9000 руб.;5100 2077 9256 0418
Соколова Надежда Александровна;3424 405299;681-579-812 52;аутоиммунные проявления, хроническая усталость, частые простуды;иммунолог;2025-12-01T12:15+03:00;анализ крови на иммуноглобулины;2025-12-02T17:00+03:00;1650 руб.;5469 3840 7629 1435
Громова Анна Вячеславовна;6622 034784;986-564-224 75;нарушения мозгового кровообращения, опухоли мозга, черепно-мозговая травма;нейрохирург;2025-11-27T14:15+03:00;электроэнцефалография;2025-12-01T17:15+03:00;9000 руб.;2200 0989 6298 0569
Молчанова Марина Федоровна;5020 167754;691-669-784 74;общая слабость;стоматолог;2025-12-04T15:45+03:00;общий анализ мочи;2025-12-08T09:00+03:00;600 руб.;4279 0139 7499 5077
Тарасов Станислав Сергеевич;MP2332904;079-833-423 11;раздражительность, апатия;психиатр;2025-11-28T10:15+03:00;психологическое тестирование, нейропсихологическое тестирование;2025-12-01T09:00+03:00;3500 руб.;4153 7493 3067 4580
Петров Антон Павлович;6112 794370;202-599-919 80;головная боль;стоматолог-терапевт;2025-12-04T09:15+03:00;общий анализ крови, общий анализ мочи;2025-12-08T09:00+03:00;1400 руб.;5213 2451 4367 2866
Смирнов Макар Дмитриевич;5023 529904;083-863-794 16;общая слабость, легкая тошнота;стоматолог-хирург;2025-12-15T17:45+03:00;общий анализ крови;2025-12-17T13:45+03:00;800 руб.;5100 0265 1917 0859
Петухов Захар Викторович;2323 660461;161-768-802 93;общее недомогание, незначительное повышение температуры, общая слабость;терапевт;2025-12-01T15:15+03:00;общий анализ крови, рентген грудной клетки;2025-12-02T17:00+03:00;3300 руб.;2200 0581 1574 4965
Смирнов Сергей Алексеевич;4705 230437;244-731-584 73;боль в горле, чихание;лор;2025-12-05T16:00+03:00;рентген носовых пазух;2025-12-08T16:00+03:00;2750 руб.;5100 0254 1840 3981
Дмитриева Василиса Артемовна;7712 195086;868-144-739 52;постоянная жажда, повышенная потливость, выпадение волос;эндокринолог;2025-12-15T09:15+03:00;анализ крови на Т4, анализ крови на Т3;2025-12-17T09:00+03:00;3300 руб.;2200 0688 0265 2959
Сергеева Марина Юрьевна;3812 997616;386-948-424 57;общее недомогание, головная боль, общая слабость;пластический хирург;2025-12-15T12:30+03:00;общий анализ крови, общий анализ мочи;2025-12-16T15:30+03:00;1400 руб.;2200 0608 8067 0896
Макаров Егор Станиславович;5203 161451;484-677-378 56;судороги, онемение, онемение ног;невролог;2025-12-17T12:00+03:00;электроэнцефалография;2025-12-22T09:00+03:00;9000 руб.;2200 0415 8485 8052
Захарова Зоя Денисовна;5023 561073;517-993-781 49;выделения из носа;лор;2025-12-10T15:00+03:00;аудиометрия, мазок из носа;2025-12-12T09:00+03:00;3400 руб.;5213 2412 0602 1281
Кравцова Маргарита Денисовна;7816 353329;128-177-512 68;незначительное повышение температуры, общее недомогание;диетолог;2025-12-12T13:30+03:00;общий анализ крови, общий анализ мочи;2025-12-15T09:00+03:00;1400 руб.;4279 0161 9953 9463
Никифорова Маргарита Васильевна;BM5164057;596-053-026 04;головная боль;маммолог;2025-12-01T16:45+03:00;общий анализ крови;2025-12-03T16:45+03:00;800 руб.;5486 7363 0663 6052
Антонов Петр Станиславович;7714 991308;963-259-532 44;детские болезни, нарушение развития;педиатр;2025-12-08T10:00+03:00;общий анализ крови;2025-12-10T17:00+03:00;800 руб.;2200 0322 5223 7281
Александров Владимир Денисович;N58799048;541-108-255 42;рвота, острая боль в животе;хирург;2025-12-09T13:30+03:00;коагулограмма;2025-12-11T09:00+03:00;1750 руб.;2200 0395 3192 6006
Петров Василий Алексеевич;5014 265960;771-167-507 10;легкая тошнота, незначительное повышение температуры;стоматолог;2025-12-11T14:30+03:00;общий анализ крови, общий анализ мочи;2025-12-15T10:30+03:00;1400 руб.;2200 0527 1874 9604
Орлова Полина Степановна;N26644381;132-532-694 39;боль внизу живота;гинеколог;2025-12-10T17:00+03:00;мазок на онкоцитологию, анализ на ЗППП;2025-12-15T09:00+03:00;3400 руб.;4276 4426 9326 5731
Филиппова Виктория Витальевна;4719 427192;036-162-486 43;потеря аппетита, общее недомогание;терапевт;2025-11-24T15:45+03:00;общий анализ мочи;2025-11-26T09:00+03:00;600 руб.;5100 0276 9735 7797
Григорьева Мирослава Максимовна;AB2488309;893-940-655 70;общая слабость;стоматолог;2025-11-24T16:15+03:00;общий анализ мочи;2025-11-26T17:00+03:00;600 руб.;2200 0779 0522 4418
Новиков Александр Александрович;3824 110974;102-312-110 59;общая слабость, легкая тошнота;сосудистый хирург;2025-11-20T13:30+03:00;общий анализ крови;2025-11-24T09:00+03:00;800 руб.;5486 9990 5719 1897
Федорова Елизавета Станиславовна;2308 395192;549-633-083 20;легкая тошнота, головная боль, общее недомогание;терапевт;2025-12-02T10:15+03:00;биохимический анализ крови;2025-12-05T09:00+03:00;1500 руб.;4279 0168 0570 2372
Семенов Денис Григорьевич;PP2682110;922-095-673 09;травматические повреждения, боль в области пупка, боль при пальпации;хирург;2025-11-24T12:45+03:00;узи брюшной полости, общий анализ крови;2025-11-25T17:00+03:00;3600 руб.;2200 0867 6992 4278
Александров Владимир Денисович;N58799048;541-108-255 42;головная боль;мануальный терапевт;2025-12-15T17:30+03:00;общий анализ крови;2025-12-17T09:00+03:00;800 руб.;2200 0443 6371 8927
Климова Милана Дмитриевна;7825 105066;571-208-267 76;утомляемость;терапевт;2025-12-09T12:15+03:00;рентген грудной клетки;2025-12-11T09:00+03:00;2500 руб.;2200 0417 0876 0143
Новикова Татьяна Федоровна;4711 281783;526-075-699 01;увеличение лимфоузлов, необъяснимая потеря веса, уплотнения;онколог;2025-11-20T15:30+03:00;биопсия;2025-11-24T10:30+03:00;1750 руб.;5323 0117 0740 3925
